[0,1,-4;-2,-7,6;-1,3,88
[0,-3,-2;-1,-7,3;-4,5,87
[0,-4,7;6,5,-8;-3,2,97
[0,5,-5;-3,-4,7;3,-1,91
[0,-6,3;2,-1,-4;-5,4,91
[1,0,-2;-7,7,-1;5,-8,95
[-1,0,-3;-6,4,-2;3,-8,94
[1,-1,0;-5,8,-3;4,-7,96
[-1,-4,1;4,-8,0;-7,8,88
[-1,-4,5;7,-2,-5;-6,6,93
[-1,4,-6;-4,-5,6;2,-2,90
[-1,-6,1;-3,4,-7;-2,-4,93
[-1,7,3;6,5,-2;4,-3,101
[2,4,-6;-8,0,8;6,-4,91
[-2,6,0;7,-6,3;-1,4,94
[2,-6,-1;-3,-5,3;-4,6,86
[2,-6,7;6,1,-4;-5,8,93
[-2,7,-1;6,-6,4;0,3,94
[3,-3,6;5,2,-1;-2,7,94
[-3,5,-2;4,-6,2;-1,1,93
[-3,-8,-1;-2,-4,-6;-7,0,88
[4,-3,5;0,8,-2;2,1,96
[4,-5,0;-7,5,1;2,-1,91
[5,-2,0;-4,1,6;2,4,90
[5,-3,4;1,2,3;0,7,92
[-5,6,-2;3,-1,-3;1,-6,97
[-5,7,-1;8,-7,0;-2,1,95
[5,-8,2;-7,7,-1;1,0,91
[6,-5,0;-8,5,4;3,1,90
[-6,5,-4;3,-7,-1;-2,-3,93
[-7,0,-2;2,-3,-8;-4,-6,94
[-7,2,-4;0,-3,-6;-2,-8,94
